IsHoliday,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,md1_present,md2_present,md3_present,md4_present,md5_present,Type_A,Type_B,Store_1,Store_2,Store_3,Dept_1,Dept_2,Dept_3,Dept_4,Dept_5,Black_Friday_no,Black_Friday_yes,Pre_christmas_no,Pre_christmas_yes,Lagged_Sales,Lagged_Available,Sales_diff,Difference
0,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,23510.49,0.0,0.0,-1414.0099999999984
0,151315,39.93,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,46039.49,1.0,-22528.999999999996,-18085.06
0,151315,46.63,2.5610000000000004,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,41595.55,1.0,-18085.06,4106.950000000001
0,151315,42.27,2.989,0.0,0.0,0.0,0.0,0.0,212.56688119999998,7.742000000000001,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,18461.18,1.0,5049.310000000001,1844.7300000000032
0,151315,57.36,3.045,0.0,0.0,0.0,0.0,0.0,213.2478853,7.742000000000001,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,37887.17,1.0,-14376.679999999997,-23335.38
0,151315,62.9,3.065,0.0,0.0,0.0,0.0,0.0,213.535609,7.742000000000001,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,46845.87,1.0,-23335.38,4146.66
0,151315,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,18378.16,1.0,5132.330000000002,0.0
0,151315,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.42575860000002,7.348,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,36988.49,1.0,-13477.999999999996,-30549.609999999997
0,151315,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,54060.1,1.0,-30549.609999999997,3386.2700000000004
0,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,47080.12,0.0,0.0,-3525.149999999994
0,151315,39.93,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,44682.74,1.0,2397.3800000000047,-848.7699999999968
0,151315,46.63,2.5610000000000004,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,47928.89,1.0,-848.7699999999968,2787.25
0,151315,42.27,2.989,0.0,0.0,0.0,0.0,0.0,212.56688119999998,7.742000000000001,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,41651.01,1.0,5429.110000000001,251.0
0,151315,57.36,3.045,0.0,0.0,0.0,0.0,0.0,213.2478853,7.742000000000001,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,47595.35,1.0,-515.2299999999959,-2121.939999999995
0,151315,62.9,3.065,0.0,0.0,0.0,0.0,0.0,213.535609,7.742000000000001,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,49202.06,1.0,-2121.939999999995,914.8700000000026
0,151315,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,41556.23,1.0,5523.889999999999,-7242.119999999995
0,151315,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.42575860000002,7.348,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,50581.06,1.0,-3500.939999999995,994.6500000000015
0,151315,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,46085.47,1.0,994.6500000000015,0.0
