IsHoliday,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,md1_present,md2_present,md3_present,md4_present,md5_present,Year,Day,Days_Until_Christmas,Black_Friday,Pre_christmas,Type_A,Type_B,Store_1,Store_2,Store_3,Dept_1,Dept_2,Dept_3,Dept_4,Dept_5,Month_1,Month_10,Month_11,Month_12,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Weekly_Sales
0,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,0,0,0,0,0,2010,5,329,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24924.5
0,202307,40.19,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324,0,0,0,0,0,2010,5,329,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,47681.96
0,202307,40.19,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324,0,0,0,0,0,2010,5,329,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16873.2
0,202307,40.19,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324,0,0,0,0,0,2010,5,329,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74661.16
0,202307,40.19,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324,0,0,0,0,0,2010,5,329,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35034.06
0,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999,0,0,0,0,0,2010,5,329,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6453.58
0,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999,0,0,0,0,0,2010,5,329,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17566.72
0,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999,0,0,0,0,0,2010,5,329,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4710.29
0,202307,40.19,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324,0,0,0,0,0,2010,5,329,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,34025.45
0,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999,0,0,0,0,0,2010,5,329,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8495.1
0,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,0,0,0,0,0,2010,5,329,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32229.38
0,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,0,0,0,0,0,2010,5,329,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,39954.04
0,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,0,0,0,0,0,2010,5,329,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13740.12
0,151315,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,0,0,0,0,0,2010,5,329,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50605.27
0,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999,0,0,0,0,0,2010,5,329,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15051.48
1,37392,47.93,2.548,0.0,0.0,0.0,0.0,0.0,214.57479159999997,7.367999999999999,0,0,0,0,0,2010,12,322,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12748.72
1,37392,47.93,2.548,0.0,0.0,0.0,0.0,0.0,214.57479159999997,7.367999999999999,0,0,0,0,0,2010,12,322,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15177.3
1,37392,47.93,2.548,0.0,0.0,0.0,0.0,0.0,214.57479159999997,7.367999999999999,0,0,0,0,0,2010,12,322,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4887.08
1,202307,38.49,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,0,0,0,0,0,2010,12,322,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60483.7
1,202307,38.49,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,0,0,0,0,0,2010,12,322,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13821.01
1,37392,47.93,2.548,0.0,0.0,0.0,0.0,0.0,214.57479159999997,7.367999999999999,0,0,0,0,0,2010,12,322,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8489.46
1,202307,38.49,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,0,0,0,0,0,2010,12,322,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,44197.95
1,202307,38.49,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,0,0,0,0,0,2010,12,322,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,37978.19
1,151315,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.24216980000003,8.106,0,0,0,0,0,2010,12,322,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29620.81
1,151315,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.24216980000003,8.106,0,0,0,0,0,2010,12,322,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,35351.21
1,151315,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.24216980000003,8.106,0,0,0,0,0,2010,12,322,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10887.84
1,151315,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.24216980000003,8.106,0,0,0,0,0,2010,12,322,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44682.74
1,151315,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.24216980000003,8.106,0,0,0,0,0,2010,12,322,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46039.49
1,202307,38.49,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,0,0,0,0,0,2010,12,322,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65487.46
1,37392,47.93,2.548,0.0,0.0,0.0,0.0,0.0,214.57479159999997,7.367999999999999,0,0,0,0,0,2010,12,322,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12981.72
0,202307,39.69,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,0,0,0,0,0,2010,19,315,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58221.52
0,202307,39.69,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,0,0,0,0,0,2010,19,315,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70853.58
0,202307,39.69,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,0,0,0,0,0,2010,19,315,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14607.28
0,202307,39.69,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,0,0,0,0,0,2010,19,315,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,46131.14
0,202307,39.69,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,0,0,0,0,0,2010,19,315,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,31620.12
0,37392,47.07,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,214.61988680000002,7.367999999999999,0,0,0,0,0,2010,19,315,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4461.75
0,37392,47.07,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,214.61988680000002,7.367999999999999,0,0,0,0,0,2010,19,315,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15676.11
0,37392,47.07,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,214.61988680000002,7.367999999999999,0,0,0,0,0,2010,19,315,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7824.13
0,37392,47.07,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,214.61988680000002,7.367999999999999,0,0,0,0,0,2010,19,315,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12577.82
0,151315,39.93,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,0,0,0,0,0,2010,19,315,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41595.55
0,151315,39.93,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,0,0,0,0,0,2010,19,315,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47928.89
0,151315,39.93,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,0,0,0,0,0,2010,19,315,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11523.47
0,151315,39.93,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,0,0,0,0,0,2010,19,315,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,36826.95
0,151315,39.93,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,0,0,0,0,0,2010,19,315,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,26468.27
0,37392,47.07,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,214.61988680000002,7.367999999999999,0,0,0,0,0,2010,19,315,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8918.31
